ID,Provider ID,Measure Name,Measure ID,Score,Measure Start Date,Measure End Date
26,230165,Death rate for COPD patients,MORT_30_COPD,9.2,7/1/14,6/30/17
27,230176,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.74,10/1/15,6/30/17
28,440029,Pressure sores,PSI_3_ULCER,0.12,10/1/15,6/30/17
29,450108,Pressure sores,PSI_3_ULCER,0.32,10/1/15,6/30/17
30,450119,Pressure sores,PSI_3_ULCER,0.15,10/1/15,6/30/17
31,450845,Pressure sores,PSI_3_ULCER,0.38,10/1/15,6/30/17
32,500037,Pressure sores,PSI_3_ULCER,0.35,10/1/15,6/30/17
33,510071,Pressure sores,PSI_3_ULCER,0.17,10/1/15,6/30/17
34,520095,Pressure sores,PSI_3_ULCER,0.33,10/1/15,6/30/17
35,520097,Pressure sores,PSI_3_ULCER,1.14,10/1/15,6/30/17
36,520113,Pressure sores,PSI_3_ULCER,0.85,10/1/15,6/30/17
37,670004,Pressure sores,PSI_3_ULCER,0.26,10/1/15,6/30/17
38,10052,Pressure sores,PSI_3_ULCER,0.32,10/1/15,6/30/17
39,10069,Pressure sores,PSI_3_ULCER,0.3,10/1/15,6/30/17
40,10095,Serious complications,PSI_90_SAFETY,0.99,10/1/15,6/30/17
41,10019,Death rate for COPD patients,MORT_30_COPD,7.3,7/1/14,6/30/17
42,10016,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,0.95,10/1/15,6/30/17
43,10100,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,6.35,10/1/15,6/30/17
44,10040,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
45,10033,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.53,10/1/15,6/30/17
46,10016,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,156.58,10/1/15,6/30/17
47,10006,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.3,10/1/15,6/30/17
48,10085,Serious complications,PSI_90_SAFETY,0.93,10/1/15,6/30/17
49,10055,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1.06,10/1/15,6/30/17
50,10100,Death rate for stroke patients,MORT_30_STK,13.6,7/1/14,6/30/17
51,10021,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.12,10/1/15,6/30/17
52,10099,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.25,10/1/15,6/30/17
53,10086,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.27,10/1/15,6/30/17
54,10007,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,4.76,10/1/15,6/30/17
55,10085,Death rate for heart failure patients,MORT_30_HF,10.8,7/1/14,6/30/17
56,10016,Pressure sores,PSI_3_ULCER,0.36,10/1/15,6/30/17
57,10046,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.27,10/1/15,6/30/17
58,10035,Death rate for stroke patients,MORT_30_STK,17,7/1/14,6/30/17
59,10021,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,4.16,10/1/15,6/30/17
60,10032,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
61,10033,Death rate for CABG surgery patients,MORT_30_CABG,2.5,7/1/14,6/30/17
62,10007,Serious complications,PSI_90_SAFETY,1.04,10/1/15,6/30/17
63,10046,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.78,10/1/15,6/30/17
64,10092,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,167.15,10/1/15,6/30/17
65,10086,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.83,10/1/15,6/30/17
66,10024,Serious complications,PSI_90_SAFETY,1.3,10/1/15,6/30/17
67,10007,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.28,10/1/15,6/30/17
68,10087,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,145.55,10/1/15,6/30/17
69,10039,Pressure sores,PSI_3_ULCER,0.36,10/1/15,6/30/17
70,10099,Serious complications,PSI_90_SAFETY,0.93,10/1/15,6/30/17
71,10078,Death rate for stroke patients,MORT_30_STK,13.4,7/1/14,6/30/17
72,10036,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.26,10/1/15,6/30/17
73,10062,Pressure sores,PSI_3_ULCER,0.29,10/1/15,6/30/17
74,10039,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.19,10/1/15,6/30/17
75,10040,Blood stream infection after surgery,PSI_13_POST_SEPSIS,7.57,10/1/15,6/30/17
76,10040,Death rate for heart attack patients,MORT_30_AMI,13.3,7/1/14,6/30/17
77,10019,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
78,10032,Death rate for heart failure patients,MORT_30_HF,12.3,7/1/14,6/30/17
79,10012,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.8,10/1/15,6/30/17
80,10079,Blood stream infection after surgery,PSI_13_POST_SEPSIS,5.31,10/1/15,6/30/17
81,10055,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,186.41,10/1/15,6/30/17
82,10079,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.19,10/1/15,6/30/17
83,10049,Serious complications,PSI_90_SAFETY,0.86,10/1/15,6/30/17
84,10090,Blood stream infection after surgery,PSI_13_POST_SEPSIS,4.6,10/1/15,6/30/17
85,10092,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1.85,10/1/15,6/30/17
86,10039,Serious complications,PSI_90_SAFETY,0.93,10/1/15,6/30/17
87,10065,Death rate for heart failure patients,MORT_30_HF,12.7,7/1/14,6/30/17
88,10049,Pressure sores,PSI_3_ULCER,0.23,10/1/15,6/30/17
89,10019,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,2.94,10/1/15,6/30/17
90,10032,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.29,10/1/15,6/30/17
91,10055,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.24,10/1/15,6/30/17
92,10056,Death rate for CABG surgery patients,MORT_30_CABG,4.2,7/1/14,6/30/17
93,10045,Death rate for heart failure patients,MORT_30_HF,11.5,7/1/14,6/30/17
94,10051,Serious complications,PSI_90_SAFETY,1,10/1/15,6/30/17
95,10083,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.3,10/1/15,6/30/17
96,10097,Pressure sores,PSI_3_ULCER,0.36,10/1/15,6/30/17
97,10099,Death rate for heart attack patients,MORT_30_AMI,14.3,7/1/14,6/30/17
98,10001,Pressure sores,PSI_3_ULCER,0.17,10/1/15,6/30/17
99,10011,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2.6,4/1/14,3/31/17
100,10089,Death rate for COPD patients,MORT_30_COPD,8,7/1/14,6/30/17
101,10049,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.47,10/1/15,6/30/17
102,10055,Death rate for pneumonia patients,MORT_30_PN,16.6,7/1/14,6/30/17
103,10038,Serious complications,PSI_90_SAFETY,0.89,10/1/15,6/30/17
104,10023,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2.5,4/1/14,3/31/17
105,10012,Death rate for heart failure patients,MORT_30_HF,13.8,7/1/14,6/30/17
106,10046,Death rate for heart failure patients,MORT_30_HF,8.1,7/1/14,6/30/17
107,10022,Death rate for pneumonia patients,MORT_30_PN,17.3,7/1/14,6/30/17
108,10100,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2.9,4/1/14,3/31/17
109,10078,Serious complications,PSI_90_SAFETY,0.93,10/1/15,6/30/17
110,10040,Death rate for heart failure patients,MORT_30_HF,11.6,7/1/14,6/30/17
111,10005,Blood stream infection after surgery,PSI_13_POST_SEPSIS,5.2,10/1/15,6/30/17
112,10047,Serious complications,PSI_90_SAFETY,0.98,10/1/15,6/30/17
113,10089,Serious complications,PSI_90_SAFETY,0.97,10/1/15,6/30/17
114,10065,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,3,4/1/14,3/31/17
115,10049,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1.28,10/1/15,6/30/17
116,10089,Pressure sores,PSI_3_ULCER,0.43,10/1/15,6/30/17
117,10083,Serious complications,PSI_90_SAFETY,0.98,10/1/15,6/30/17
118,10089,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2.3,4/1/14,3/31/17
119,10089,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,8.2,10/1/15,6/30/17
120,10052,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
121,10062,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1.29,10/1/15,6/30/17
122,10040,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1.2,10/1/15,6/30/17
123,10086,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1.27,10/1/15,6/30/17
124,10007,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.26,10/1/15,6/30/17
125,10036,Death rate for COPD patients,MORT_30_COPD,7.5,7/1/14,6/30/17
126,10056,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,4.45,10/1/15,6/30/17
127,10083,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.32,10/1/15,6/30/17
128,10034,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
129,10034,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.59,10/1/15,6/30/17
130,10046,Death rate for stroke patients,MORT_30_STK,12.5,7/1/14,6/30/17
131,10033,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,3.3,4/1/14,3/31/17
132,10001,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.14,10/1/15,6/30/17
133,10012,Death rate for stroke patients,MORT_30_STK,15.1,7/1/14,6/30/17
134,10069,Death rate for stroke patients,MORT_30_STK,13.6,7/1/14,6/30/17
135,10091,Serious complications,PSI_90_SAFETY,0.99,10/1/15,6/30/17
136,10083,Pressure sores,PSI_3_ULCER,0.13,10/1/15,6/30/17
137,10033,Death rate for stroke patients,MORT_30_STK,15.4,7/1/14,6/30/17
138,10049,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.23,10/1/15,6/30/17
139,10079,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.79,10/1/15,6/30/17
140,10065,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.7,10/1/15,6/30/17
141,10023,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.1,10/1/15,6/30/17
142,10001,Death rate for stroke patients,MORT_30_STK,13.7,7/1/14,6/30/17
143,10083,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
144,10005,Pressure sores,PSI_3_ULCER,0.7,10/1/15,6/30/17
145,10090,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.7,10/1/15,6/30/17
146,10040,Pressure sores,PSI_3_ULCER,0.18,10/1/15,6/30/17
147,10086,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.12,10/1/15,6/30/17
148,10046,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,2.41,10/1/15,6/30/17
149,10038,Death rate for pneumonia patients,MORT_30_PN,13.5,7/1/14,6/30/17
150,10029,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,184.82,10/1/15,6/30/17
151,10040,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,3.6,4/1/14,3/31/17
152,10055,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.1,10/1/15,6/30/17
153,10024,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,1.17,10/1/15,6/30/17
154,10024,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0.75,10/1/15,6/30/17
155,10045,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.84,10/1/15,6/30/17
156,10033,Death rate for heart failure patients,MORT_30_HF,8.1,7/1/14,6/30/17
157,10029,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.64,10/1/15,6/30/17
158,10099,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.28,10/1/15,6/30/17
159,10035,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,1.25,10/1/15,6/30/17
160,10079,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.12,10/1/15,6/30/17
161,10005,Death rate for heart failure patients,MORT_30_HF,15.3,7/1/14,6/30/17
162,10062,Death rate for COPD patients,MORT_30_COPD,8,7/1/14,6/30/17
163,10092,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.1,10/1/15,6/30/17
164,10061,Pressure sores,PSI_3_ULCER,1.6,10/1/15,6/30/17
165,10038,Death rate for heart attack patients,MORT_30_AMI,13.5,7/1/14,6/30/17
166,10005,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,12.17,10/1/15,6/30/17
167,10087,Serious complications,PSI_90_SAFETY,0.92,10/1/15,6/30/17
168,10039,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1.45,10/1/15,6/30/17
169,10006,Pressure sores,PSI_3_ULCER,0.46,10/1/15,6/30/17
170,10099,Death rate for COPD patients,MORT_30_COPD,8.6,7/1/14,6/30/17
171,10055,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.43,10/1/15,6/30/17
172,10086,Pressure sores,PSI_3_ULCER,0.29,10/1/15,6/30/17
173,10040,Death rate for CABG surgery patients,MORT_30_CABG,2.3,7/1/14,6/30/17
174,10032,Pressure sores,PSI_3_ULCER,0.39,10/1/15,6/30/17
175,10023,Death rate for COPD patients,MORT_30_COPD,10.8,7/1/14,6/30/17
176,10091,Death rate for COPD patients,MORT_30_COPD,9.3,7/1/14,6/30/17
177,10055,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,4.32,10/1/15,6/30/17
178,10024,Death rate for pneumonia patients,MORT_30_PN,18.6,7/1/14,6/30/17
179,10036,Death rate for stroke patients,MORT_30_STK,12.9,7/1/14,6/30/17
180,10045,Death rate for stroke patients,MORT_30_STK,14.3,7/1/14,6/30/17
181,10021,Blood stream infection after surgery,PSI_13_POST_SEPSIS,5.78,10/1/15,6/30/17
182,10019,Death rate for heart attack patients,MORT_30_AMI,14.1,7/1/14,6/30/17
183,10032,Death rate for COPD patients,MORT_30_COPD,8.3,7/1/14,6/30/17
184,10079,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,3.34,10/1/15,6/30/17
185,10039,Death rate for heart attack patients,MORT_30_AMI,13.9,7/1/14,6/30/17
186,10023,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,192.09,10/1/15,6/30/17
187,10100,Death rate for heart attack patients,MORT_30_AMI,11.7,7/1/14,6/30/17
188,10011,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.1,10/1/15,6/30/17
189,10029,Blood stream infection after surgery,PSI_13_POST_SEPSIS,4.24,10/1/15,6/30/17
190,10029,Death rate for CABG surgery patients,MORT_30_CABG,4.6,7/1/14,6/30/17
191,10006,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
192,10005,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1.1,10/1/15,6/30/17
193,10087,Death rate for stroke patients,MORT_30_STK,15.9,7/1/14,6/30/17
194,10012,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1.26,10/1/15,6/30/17
195,10061,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2.7,4/1/14,3/31/17
196,10011,Blood stream infection after surgery,PSI_13_POST_SEPSIS,5.57,10/1/15,6/30/17
197,10099,Death rate for heart failure patients,MORT_30_HF,11.5,7/1/14,6/30/17
198,10061,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
199,10008,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.29,10/1/15,6/30/17
200,10049,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2.1,4/1/14,3/31/17
201,10024,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,9.52,10/1/15,6/30/17
202,10085,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,1.53,10/1/15,6/30/17
203,10090,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
204,10023,Blood stream infection after surgery,PSI_13_POST_SEPSIS,2.9,10/1/15,6/30/17
205,10035,Pressure sores,PSI_3_ULCER,0.1,10/1/15,6/30/17
206,10056,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,177.32,10/1/15,6/30/17
207,10033,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.09,10/1/15,6/30/17
208,10016,Death rate for heart failure patients,MORT_30_HF,13.2,7/1/14,6/30/17
209,10001,Serious complications,PSI_90_SAFETY,0.9,10/1/15,6/30/17
210,10018,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,3.77,10/1/15,6/30/17
211,10044,Serious complications,PSI_90_SAFETY,0.99,10/1/15,6/30/17
212,10033,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0.6,10/1/15,6/30/17
213,10046,Death rate for heart attack patients,MORT_30_AMI,12.2,7/1/14,6/30/17
214,10023,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.02,10/1/15,6/30/17
215,10086,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.52,10/1/15,6/30/17
216,10035,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.1,10/1/15,6/30/17
217,10097,Death rate for heart failure patients,MORT_30_HF,10.1,7/1/14,6/30/17
218,10024,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.25,10/1/15,6/30/17
219,10078,Death rate for COPD patients,MORT_30_COPD,8,7/1/14,6/30/17
220,10091,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
221,10097,Death rate for pneumonia patients,MORT_30_PN,13.6,7/1/14,6/30/17
222,10044,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
223,10011,Pressure sores,PSI_3_ULCER,0.06,10/1/15,6/30/17
224,10039,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.7,10/1/15,6/30/17
225,10006,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.38,10/1/15,6/30/17
226,10065,Death rate for stroke patients,MORT_30_STK,14.8,7/1/14,6/30/17
227,10038,Blood stream infection after surgery,PSI_13_POST_SEPSIS,5.38,10/1/15,6/30/17
228,10016,Death rate for pneumonia patients,MORT_30_PN,16.4,7/1/14,6/30/17
229,10036,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.5,10/1/15,6/30/17
230,10012,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.21,10/1/15,6/30/17
231,10086,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,3.73,10/1/15,6/30/17
232,10078,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,2.1,10/1/15,6/30/17
233,10085,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.71,10/1/15,6/30/17
234,10073,Death rate for COPD patients,MORT_30_COPD,8.8,7/1/14,6/30/17
235,10044,Death rate for heart failure patients,MORT_30_HF,9.9,7/1/14,6/30/17
236,10023,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.24,10/1/15,6/30/17
237,10069,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,3.77,10/1/15,6/30/17
238,10038,Pressure sores,PSI_3_ULCER,0.17,10/1/15,6/30/17
239,10052,Death rate for pneumonia patients,MORT_30_PN,13.9,7/1/14,6/30/17
240,10033,Death rate for pneumonia patients,MORT_30_PN,12.1,7/1/14,6/30/17
241,10001,Death rate for heart failure patients,MORT_30_HF,12.5,7/1/14,6/30/17
242,10024,Death rate for COPD patients,MORT_30_COPD,8.1,7/1/14,6/30/17
243,10011,Death rate for CABG surgery patients,MORT_30_CABG,3.7,7/1/14,6/30/17
244,10021,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.55,10/1/15,6/30/17
245,10029,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,3,4/1/14,3/31/17
246,10049,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,7.12,10/1/15,6/30/17
247,10033,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,186.23,10/1/15,6/30/17
248,10078,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,199.4,10/1/15,6/30/17
249,10062,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
250,10006,Death rate for pneumonia patients,MORT_30_PN,17.2,7/1/14,6/30/17
251,10049,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
252,10021,Death rate for heart failure patients,MORT_30_HF,12.7,7/1/14,6/30/17
253,10024,Death rate for stroke patients,MORT_30_STK,11.5,7/1/14,6/30/17
254,10022,Serious complications,PSI_90_SAFETY,0.99,10/1/15,6/30/17
255,10073,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
256,10045,Pressure sores,PSI_3_ULCER,0.32,10/1/15,6/30/17
257,10006,Death rate for COPD patients,MORT_30_COPD,8.8,7/1/14,6/30/17
258,10040,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.24,10/1/15,6/30/17
259,10007,Death rate for stroke patients,MORT_30_STK,15.9,7/1/14,6/30/17
260,10055,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,8.34,10/1/15,6/30/17
261,10035,Death rate for heart attack patients,MORT_30_AMI,14.4,7/1/14,6/30/17
262,10016,Serious complications,PSI_90_SAFETY,1.11,10/1/15,6/30/17
263,10001,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,161.31,10/1/15,6/30/17
264,10092,Death rate for heart attack patients,MORT_30_AMI,13.4,7/1/14,6/30/17
265,10061,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.27,10/1/15,6/30/17
266,10089,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0.8,10/1/15,6/30/17
267,10033,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,4.12,10/1/15,6/30/17
268,10005,Death rate for stroke patients,MORT_30_STK,15.7,7/1/14,6/30/17
269,10078,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.29,10/1/15,6/30/17
270,10029,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,8.84,10/1/15,6/30/17
271,10045,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2.58,10/1/15,6/30/17
272,10065,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.4,10/1/15,6/30/17
273,10018,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0.29,10/1/15,6/30/17
274,10006,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,3.38,10/1/15,6/30/17
275,10029,Pressure sores,PSI_3_ULCER,0.04,10/1/15,6/30/17
276,10089,Blood stream infection after surgery,PSI_13_POST_SEPSIS,5,10/1/15,6/30/17
277,10005,Death rate for COPD patients,MORT_30_COPD,10.9,7/1/14,6/30/17
278,10089,Death rate for heart attack patients,MORT_30_AMI,14.1,7/1/14,6/30/17
279,10091,Death rate for heart failure patients,MORT_30_HF,11.7,7/1/14,6/30/17
280,10036,Pressure sores,PSI_3_ULCER,0.18,10/1/15,6/30/17
281,10040,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,150.87,10/1/15,6/30/17
282,10021,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1.23,10/1/15,6/30/17
283,10056,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2.4,4/1/14,3/31/17
284,10038,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.12,10/1/15,6/30/17
285,10024,Death rate for heart attack patients,MORT_30_AMI,14,7/1/14,6/30/17
286,10092,Pressure sores,PSI_3_ULCER,0.2,10/1/15,6/30/17
287,10006,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,3.31,10/1/15,6/30/17
288,10023,Pressure sores,PSI_3_ULCER,0.29,10/1/15,6/30/17
289,10086,Serious complications,PSI_90_SAFETY,0.93,10/1/15,6/30/17
290,10024,Blood stream infection after surgery,PSI_13_POST_SEPSIS,4.38,10/1/15,6/30/17
291,10051,Pressure sores,PSI_3_ULCER,0.39,10/1/15,6/30/17
292,10086,Death rate for COPD patients,MORT_30_COPD,9.1,7/1/14,6/30/17
293,10006,Death rate for stroke patients,MORT_30_STK,17.2,7/1/14,6/30/17
294,10056,Death rate for COPD patients,MORT_30_COPD,7.7,7/1/14,6/30/17
295,10007,Broken hip from a fall after surgery,PSI_8_POST_HIP,0.11,10/1/15,6/30/17
