ID,Provider ID,Condition,Measure Name,Measure ID,Measure Start Date,Measure End Date,Score
35,450605,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,158
36,390081,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,374
37,391312,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,96
38,50438,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,104
39,50736,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,10
40,330261,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,171
41,230133,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,26
42,330261,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,OP_3b,4/1/17,3/31/18,74
43,10083,Emergency Department,Head CT results,OP_23,4/1/17,3/31/18,38
44,100012,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,91
45,140103,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,215
46,520078,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,76
47,210002,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,10
48,141348,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,16
49,241340,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,100
50,370016,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,0
51,450755,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,91
52,100012,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,164
53,40067,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,114
54,230133,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,98
55,511317,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,76
56,241351,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,100
57,190204,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,98
58,440084,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,medium
59,110200,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,78
60,230133,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
61,141348,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,98
62,141348,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,98
63,101300,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,5
64,50438,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,92
65,50736,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,84
66,440084,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,81
67,511317,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,258
68,50736,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,99
69,390030,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,4
70,50438,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,93
71,241351,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,24
72,520078,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,18
73,100012,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,very high
74,450755,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,102
75,390030,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,99
76,520078,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,99
77,50736,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,7
78,50438,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,5
79,390150,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,202
80,40067,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,236
81,100012,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,2
82,50324,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,95
83,391312,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,88
84,390150,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,46
85,50324,Blood Clot Prevention and Treatment,Hospital Acquired Potentially-Preventable Venous Thromboembolism,VTE_6,4/1/17,3/31/18,0
86,240064,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,44
87,451305,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,32
88,340001,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,1
89,390030,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,63
90,390030,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,36
91,390150,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,94
92,260177,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,224
93,241336,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,16
94,450755,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,6
95,40067,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,88
96,330261,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,98
97,520078,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,1
98,40067,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,93
99,241336,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,5
100,511317,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
101,250040,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,1
102,440084,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,88
103,440084,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,28
104,50324,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,96
105,451305,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,11
106,390226,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,28
107,281341,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,89
108,171308,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
109,230133,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,5
110,50438,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,97
111,451374,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,98
112,390030,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,92
113,450755,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,60
114,50438,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,89
115,241340,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,8
116,230133,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,254
117,360354,Blood Clot Prevention and Treatment,Hospital Acquired Potentially-Preventable Venous Thromboembolism,VTE_6,4/1/17,3/31/18,0
118,210002,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,93
119,50736,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,100
120,50736,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,202
121,250040,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,96
122,390030,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,101
123,370173,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,199
124,190204,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,2
125,450755,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,104
126,450755,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,100
127,440084,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,45
128,110200,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,98
129,520078,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,101
130,281341,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,12
131,450605,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,374
132,250040,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,74
133,140103,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,612
134,391312,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,207
135,370016,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,93
136,440084,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,0
137,260177,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,2
138,50324,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,92
139,390150,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
140,100012,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,60
141,330261,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,21
142,190204,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,19
143,50324,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,1
144,100012,Emergency Department,Head CT results,OP_23,4/1/17,3/31/18,47
145,110200,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,100
146,241351,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,0
147,171312,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,102
148,171312,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,20
149,171312,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,41
150,171312,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,58
151,190204,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,99
152,230133,Emergency Department,Head CT results,OP_23,4/1/17,3/31/18,64
153,340001,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,352
154,391312,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,57
155,440084,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,26
156,190204,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,91
157,451374,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,97
158,241351,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,0
159,340001,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,91
160,390030,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
161,250040,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,0
162,451305,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,3
163,50438,Blood Clot Prevention and Treatment,Hospital Acquired Potentially-Preventable Venous Thromboembolism,VTE_6,4/1/17,3/31/18,22
164,340001,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,117
165,281326,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,112
166,281326,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,14
167,281326,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
168,281326,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,73
169,281326,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,89
170,281326,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,98
171,281326,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,117
172,281326,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,19
173,281326,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,32
174,281326,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,0
175,370016,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,113
176,281326,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,100
177,210002,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,65
178,370016,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,98
179,330396,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,10
180,391312,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,38
181,281341,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,89
182,50438,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,234
183,440084,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,OP_3b,4/1/17,3/31/18,91
184,250040,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,0
185,400021,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,661
186,400021,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,175
187,400021,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,68
188,400021,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,6
189,431309,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,100
190,281341,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,5
191,340001,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,very high
192,450465,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,92
193,450605,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
194,451305,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,100
195,190204,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,262
196,100012,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,5
197,511317,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,78
198,230133,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,96
199,250040,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,28
200,241336,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,86
201,511317,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,70
202,511317,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,138
203,241336,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,94
204,520078,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,44
205,40067,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,25
206,250040,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,132
207,360354,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,high
208,281341,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
209,250040,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,92
210,370016,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,62
211,511317,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,100
212,10083,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,77
213,100012,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,91
214,450755,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,6
215,241304,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,0
216,50324,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,99
217,40067,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
218,100012,Blood Clot Prevention and Treatment,Hospital Acquired Potentially-Preventable Venous Thromboembolism,VTE_6,4/1/17,3/31/18,0
219,340001,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,4
220,370016,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,88
221,50438,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,327
222,10083,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,100
223,520078,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,59
224,370016,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,37
225,10083,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,5
226,40067,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,70
227,100012,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,281
228,10083,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,100
229,141348,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,100
230,171308,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,100
231,141348,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,3
232,260177,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,100
233,391312,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,62
234,450605,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,32
235,360354,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,5
236,50324,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,196
237,511317,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,19
238,390030,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,100
239,50736,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,100
240,451305,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,86
241,140110,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,1
242,241340,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,95
243,50438,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,9
244,141348,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,97
245,141348,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,low
246,450755,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,52
247,511317,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,100
248,340001,Blood Clot Prevention and Treatment,Hospital Acquired Potentially-Preventable Venous Thromboembolism,VTE_6,4/1/17,3/31/18,2
249,50324,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,11
250,241351,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,99
251,330261,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,100
252,241340,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,204
253,340001,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,83
254,10083,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,80
255,340001,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,93
256,440084,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,156
257,520078,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,0
258,330261,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,0
259,260177,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,39
260,370173,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,94
261,330261,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,63
262,50438,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,35
263,100012,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,59
264,390081,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,188
265,190204,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,medium
266,450755,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,179
267,10083,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,88
268,391312,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,100
269,391312,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,103
270,330202,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,OP_3b,4/1/17,3/31/18,156
271,190204,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,428
272,141348,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,98
273,250040,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,very high
274,260177,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,medium
275,260177,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,72
276,390030,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,232
277,100012,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,94
278,330261,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,272
279,330202,Blood Clot Prevention and Treatment,Hospital Acquired Potentially-Preventable Venous Thromboembolism,VTE_6,4/1/17,3/31/18,0
280,40067,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,94
281,230133,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,282
282,50438,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,OP_29,1/1/17,12/31/17,87
283,370173,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,38
284,370016,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,0
285,50324,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,high
286,391312,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,96
287,241340,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,0
288,390150,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,25
289,50324,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,97
290,450755,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,88
291,50324,Emergency Department,Median time to pain med,OP_21,4/1/17,3/31/18,46
292,241351,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,158
