Provider_ID,Hospital_Name,City,State,ZIP_Code,Phone_Number,Hospital_Type,Hospital_Ownership,Emergency_Services
250097,SOUTHWEST MS REGIONAL MEDICAL CENTER,MCCOMB,MS,39649,6012495500,Acute Care Hospitals,Government - Local,TRUE
250127,CHOCTAW HEALTH CENTER,PHILADELPHIA,MS,39350,6016562211,Acute Care Hospitals,Government - Federal,TRUE
250134,WHITFIELD MEDICAL SURGICAL HOSPITAL,WHITFIELD,MS,39193,6013518023,Acute Care Hospitals,Government - State,FALSE
251309,FIELD HEALTH SYSTEM,CENTREVILLE,MS,39631,6018900500,Critical Access Hospitals,Government - Local,TRUE
251307,NOXUBEE GENERAL CRITICAL ACCESS HOSP,MACON,MS,39341,6627264231,Critical Access Hospitals,Government - Local,TRUE
260020,MERCY HOSPITAL ST LOUIS,SAINT LOUIS,MO,63141,3145696000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
260032,BARNES JEWISH HOSPITAL,SAINT LOUIS,MO,63110,3147473000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE
260141,UNIVERSITY OF MISSOURI HEALTH CARE,COLUMBIA,MO,65212,5738824141,Acute Care Hospitals,Government - State,TRUE
260142,FITZGIBBON HOSPITAL,MARSHALL,MO,65340,6608867431,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
260183,SAINT FRANCIS MEDICAL CENTER,CAPE GIRARDEAU,MO,63703,5733313000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE
260214,BELTON REGIONAL MEDICAL CENTER,BELTON,MO,64012,8163481236,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
261318,SALEM MEMORIAL DISTRICT HOSPITAL,SALEM,MO,65560,5737296626,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
261335,MERCY ST FRANCIS HOSPITAL,MOUNTAIN VIEW,MO,65548,4179347000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
263301,ST LOUIS CHILDRENS HOSPITAL,SAINT LOUIS,MO,63110,3144546000,Childrens,Voluntary non-profit - Other,TRUE
270003,ST PETERS HOSPITAL,HELENA,MT,59601,4064422480,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
270074,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET,BROWNING,MT,59417,4063386157,Acute Care Hospitals,Government - Federal,TRUE
271304,MISSOURI RIVER MEDICAL CENTER,FORT BENTON,MT,59442,4066223331,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
271339,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,CROW AGENCY,MT,59022,4066382626,Critical Access Hospitals,Government - Federal,TRUE
280009,CHI HEALTH GOOD SAMARITAN,KEARNEY,NE,68848,3088657100,Acute Care Hospitals,Voluntary non-profit - Church,TRUE
280013,THE NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,4025522040,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
280133,NEBRASKA SPINE HOSPITAL  LLC,OMAHA,NE,68122,4025723000,Acute Care Hospitals,Proprietary,FALSE
281300,HARLAN COUNTY HEALTH SYSTEM,ALMA,NE,68920,3089282151,Critical Access Hospitals,Government - Local,TRUE
281301,FILLMORE COUNTY HOSPITAL,GENEVA,NE,68361,4027593167,Critical Access Hospitals,Government - Local,TRUE
281302,PAWNEE COUNTY MEMORIAL HOSPITAL,PAWNEE CITY,NE,68420,4028522231,Critical Access Hospitals,Government - Local,TRUE
281303,NIOBRARA VALLEY HOSPITAL,LYNCH,NE,68746,4025692451,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
281309,COMMUNITY MEMORIAL HOSPITAL,SYRACUSE,NE,68446,4022692011,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
281312,GENOA COMMUNITY HOSPITAL,GENOA,NE,68640,4029932283,Critical Access Hospitals,Government - Local,TRUE
281314,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,OSCEOLA,NE,68651,4027472031,Critical Access Hospitals,Government - Local,TRUE
281315,BRODSTONE MEMORIAL HOSP,SUPERIOR,NE,68978,4028793281,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
281316,WEBSTER COUNTY COMMUNITY HOSPITAL,RED CLOUD,NE,68970,4027465600,Critical Access Hospitals,Government - Local,TRUE
281319,JEFFERSON COMMUNITY HEALTH CENTER,FAIRBURY,NE,68352,4027293351,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
281326,ANTELOPE MEMORIAL HOSPITAL,NELIGH,NE,68756,4028874151,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
281327,COZAD COMMUNITY HOSPITAL,COZAD,NE,69130,3087842261,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
281331,AVERA CREIGHTON HOSPITAL,CREIGHTON,NE,68729,4023585700,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
281334,BOONE COUNTY HEALTH CENTER,ALBION,NE,68620,4023952191,Critical Access Hospitals,Government - Local,TRUE
281335,CALLAWAY DISTRICT HOSPITAL,CALLAWAY,NE,68825,3088362228,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
281336,YORK GENERAL HOSPITAL,YORK,NE,68467,4023626671,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
281338,HOWARD COUNTY MEDICAL CENTER,ST PAUL,NE,68873,3087544421,Critical Access Hospitals,Voluntary non-profit - Other,TRUE
281340,DUNDY COUNTY HOSPITAL,BENKELMAN,NE,69021,3084232204,Critical Access Hospitals,Government - Local,TRUE
281344,CHERRY COUNTY HOSPITAL,VALENTINE,NE,69201,4023762525,Critical Access Hospitals,Government - Local,TRUE
281346,CHI HEALTH PLAINVIEW,PLAINVIEW,NE,68769,4025824245,Critical Access Hospitals,Voluntary non-profit - Church,TRUE
281347,OSMOND GENERAL HOSPITAL,OSMOND,NE,68765,4027483393,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
281349,PENDER COMMUNITY HOSPITAL,PENDER,NE,68047,4023853083,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
281351,CHASE COUNTY COMMUNITY HOSPITAL,IMPERIAL,NE,69033,3088827111,Critical Access Hospitals,Government - Local,TRUE
281352,COMMUNITY MEDICAL CENTER INC,FALLS CITY,NE,68355,4022452428,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
281354,CRETE AREA MEDICAL CENTER,CRETE,NE,68333,4028262102,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
281360,BOX BUTTE GENERAL HOSPITAL,ALLIANCE,NE,69301,3087626660,Critical Access Hospitals,Government - Local,TRUE
281361,LEXINGTON REGIONAL HEALTH CENTER,LEXINGTON,NE,68850,3083245651,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
281363,COMMUNITY HOSPITAL,MCCOOK,NE,69001,3083442650,Critical Access Hospitals,Voluntary non-profit - Other,TRUE
281364,BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER  INC,BEATRICE,NE,68310,4022283344,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
290045,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,HENDERSON,NV,89052,7026165000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
290057,HENDERSON HOSPITAL,HENDERSON,NV,89011,3182904395,Acute Care Hospitals,Proprietary,TRUE
291306,CARSON VALLEY MEDICAL CENTER,GARDNERVILLE,NV,89410,7757821500,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
291314,SOUTH LYON MEDICAL CENTER,YERINGTON,NV,89447,7757813761,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
310009,CLARA MAASS MEDICAL CENTER,BELLEVILLE,NJ,7109,9734502002,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
310010,PENN MEDICINE PRINCETON MEDICAL CENTER,PLAINSBORO,NJ,8536,8664604776,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
310011,CAPE REGIONAL MEDICAL CENTER INC,CAPE MAY COURT HOUSE,NJ,8210,6094632000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
310034,RIVERVIEW MEDICAL CENTER,RED BANK,NJ,7701,7327412700,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NEW BRUNSWICK,NJ,8901,7329378525,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,PENNINGTON,NJ,8534,6093034000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
310054,HACKENSACK-UMC MOUNTAINSIDE,MONTCLAIR,NJ,7042,9734296000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,NEPTUNE,NJ,7754,7327755500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,HAMILTON,NJ,8690,6095867900,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
320058,MESCALERO PHS INDIAN HOSPITAL,MESCALERO,NM,88340,5054644441,Acute Care Hospitals,Government - Federal,FALSE
320059,NORTHERN NAVAJO MEDICAL CENTER,SHIPROCK,NM,87420,5053686001,Acute Care Hospitals,Government - Federal,TRUE
320060,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ZUNI,NM,87327,5057824431,Acute Care Hospitals,Government - Federal,TRUE
320062,CROWNPOINT HEALTHCARE FACILITY,CROWNPOINT,NM,87313,5057865291,Acute Care Hospitals,Government - Federal,TRUE
320070,DHHS USPHS INDIAN HEALTH SERVICES,SAN FIDEL,NM,87049,5055525300,Acute Care Hospitals,Government - Federal,TRUE
321309,MIMBRES MEMORIAL HOSPITAL,DEMING,NM,88031,5755465803,Critical Access Hospitals,Proprietary,TRUE
330024,MOUNT SINAI HOSPITAL,NEW YORK,NY,10029,2122417981,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330044,FAXTON-ST LUKE'S HEALTHCARE,UTICA,NY,13503,3157986000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330049,NORTHERN DUTCHESS HOSPITAL,RHINEBECK,NY,12572,8458713391,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330055,NEW YORK-PRESBYTERIAN/QUEENS,FLUSHING,NY,11355,7186702000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330058,GENEVA GENERAL HOSPITAL,GENEVA,NY,14456,3157874175,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONEONTA,NY,13820,6074322000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330136,MARY IMOGENE BASSETT HOSPITAL,COOPERSTOWN,NY,13326,6075473456,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330181,GLEN COVE HOSPITAL,GLEN COVE,NY,11542,5166747300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330195,LONG ISLAND JEWISH MEDICAL CENTER,NEW HYDE PARK,NY,11040,7184707000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,OCEANSIDE,NY,11572,5166323000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330304,WHITE PLAINS HOSPITAL CENTER,WHITE PLAINS,NY,10601,9146810600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
330385,NORTH CENTRAL BRONX HOSPITAL,BRONX,NY,10467,2125195000,Acute Care Hospitals,Government - Local,TRUE
330393,UNIVERSITY HOSPITAL AT STONY BROOK,STONY BROOK,NY,11794,6314444000,Acute Care Hospitals,Government - State,TRUE
331303,CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,CALLICOON,NY,12723,8458875530,Critical Access Hospitals,Government - Federal,FALSE
340030,DUKE UNIVERSITY HOSPITAL,DURHAM,NC,27710,9196848111,Acute Care Hospitals,Proprietary,TRUE
340047,NORTH CAROLINA BAPTIST HOSPITAL,WINSTON-SALEM,NC,27157,3367162011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
340132,MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,27536,2524313708,Acute Care Hospitals,Proprietary,TRUE
340144,DAVIS REGIONAL MEDICAL CENTER,STATESVILLE,NC,28687,7048730281,Acute Care Hospitals,Proprietary,TRUE
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,CHEROKEE,NC,28719,7044979163,Acute Care Hospitals,Government - Federal,TRUE
340171,NOVANT HEALTH MATTHEWS MEDICAL CENTER,MATTHEWS,NC,28106,7043846500,Acute Care Hospitals,Voluntary non-profit - Other,TRUE
341302,OUR COMMUNITY HOSPITAL,SCOTLAND NECK,NC,27874,2528264144,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
341320,ALLEGHANY COUNTY MEMORIAL HOSPITAL,SPARTA,NC,28675,3363725511,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
350019,ALTRU HOSPITAL,GRAND FORKS,ND,58201,7017805000,Acute Care Hospitals,Government - Local,TRUE
